STATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,9/12/2000,5.59,0,93,75,,,,,,,,,,,,,,,1,,,
USW00012918,9/13/2000,5.82,1.9,82,74,1,,1,,,,,,,,,1,,,1,,,
USW00012918,9/14/2000,4.03,0,89,75,1,,1,,,,,,,,,1,,,,,,
USW00012918,9/15/2000,7.16,0,94,74,,,,,,,,,,,,,,,,,,
USW00012918,9/16/2000,9.4,0,87,67,,,,,,,,,,,,,,,,,,
USW00012918,9/17/2000,6.49,0,87,62,,,,,,,,,,,,,,,,,,
USW00012918,9/18/2000,3.8,0,88,62,,,,,,,,,,,,,,,,,,
USW00012918,9/19/2000,3.58,0,90,65,,,,,,,,,,,,,,,,,,
USW00012918,9/20/2000,8.95,0.02,91,75,,,,,,,,,,,,,,,1,,,
USW00012918,9/21/2000,7.61,0.99,85,74,1,,1,,,,,,,,,1,,,1,,,
USW00012918,9/22/2000,8.72,0.19,91,77,,,,,,,,,,,,,,,1,,,
USW00012918,9/23/2000,8.72,0,92,79,,,,,,,,,,,,,,,,,,
USW00012918,9/24/2000,8.28,0,93,75,,,,,,,,,,,,,,,1,,,
USW00012918,9/25/2000,16.78,0,74,59,,,,,,,,,,,,,,,,,,
USW00012918,9/26/2000,8.5,0,74,53,,,,,,,,,,,,,,,,,,
USW00012918,9/27/2000,5.14,0,80,56,,,,,,,,,,,,,,,,,,
USW00012918,9/28/2000,8.05,0,84,56,,,,,,,,,,,,,,,,,,
USW00012918,9/29/2000,6.04,0,84,60,,,,,,,,,,,,,,,,,,
USW00012918,9/30/2000,4.7,0,84,61,,,,,,,,,,,,,,,,,,
USW00012918,10/1/2000,4.92,0,85,60,,,,,,,,,,,,,,,,,,
USW00012918,10/2/2000,6.93,0,88,73,,,,,,,,,,,,,,,,,,
USW00012918,10/3/2000,6.26,0,88,71,1,,,,,,,,,,,,,,,,,1
USW00012918,10/4/2000,4.47,0,89,68,,,,,,,,,,,,,,,,,,
USW00012918,10/5/2000,7.38,0,92,75,1,,1,,,,,,,,,1,,,1,,,
USW00012918,10/6/2000,11.18,0.04,90,66,,,,,,,,,,,,,,,1,,,
USW00012918,10/7/2000,17.45,0.65,66,50,1,,,,,,,,,,,1,1,,1,,,
USW00012918,10/8/2000,15.88,0.11,52,46,,,,,,,,,,,,,,,1,,,
USW00012918,10/9/2000,10.29,0.06,53,46,,,,,,,,,,,,,,,1,,,
USW00012918,10/10/2000,5.82,0,64,50,,,,,,,,,,,,,,,1,,,
USW00012918,10/11/2000,7.83,0,74,58,,,,,,,,,,,,,,,,,,
USW00012918,10/12/2000,6.04,0,79,58,,,,,,,,,,,,,,,,,,
USW00012918,10/13/2000,6.71,0,80,61,1,,,,,,,,,,,,,,,,,1
USW00012918,10/14/2000,7.16,0,83,64,1,,,,,,,,,,,1,,,,,,1
USW00012918,10/15/2000,6.26,0.29,83,70,,,,,,,,,,,,,,,1,,,
USW00012918,10/16/2000,7.16,1.38,86,69,1,,1,,,,,,,,,1,,,1,,,
USW00012918,10/17/2000,6.26,2.04,84,66,1,,1,,,,,,,,,1,,,1,,,
USW00012918,10/18/2000,4.7,0.01,80,64,1,,,,,,,,,,,1,,,1,,,
USW00012918,10/19/2000,3.13,0,81,61,,,,,,,,,,,,,,,,,,
