"","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE"
"15625",2006-06-10,8340,"BRONX",NA,41,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC"
"15626",2013-06-03,66240,"BRONX",NA,44,0,NA,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","BLACK"
"15627",2010-07-26,2940,"BROOKLYN",NA,67,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15628",2012-01-21,12960,"BRONX",NA,41,0,NA,"BAR/NIGHT CLUB",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15629",2020-02-08,19800,"QUEENS",NA,103,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15630",2006-09-24,79200,"BRONX",NA,47,0,NA,NA,FALSE,NA,"M","BLACK","18-24","M","BLACK"
"15631",2008-09-14,16680,"MANHATTAN",NA,33,0,NA,"RESTAURANT/DINER",FALSE,"25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC"
"15632",2016-06-23,83820,"MANHATTAN",NA,32,0,NA,NA,TRUE,NA,NA,NA,"45-64","M","BLACK"
"15633",2014-07-15,8760,"MANHATTAN",NA,25,0,NA,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"15634",2009-03-27,82200,"BROOKLYN",NA,67,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15635",2014-02-14,34800,"BROOKLYN",NA,73,0,NA,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"15636",2021-06-22,9540,"STATEN ISLAND",NA,120,0,NA,"PVT HOUSE",TRUE,"25-44","M","WHITE HISPANIC","18-24","F","WHITE HISPANIC"
"15637",2022-11-25,16200,"BRONX","INSIDE",44,0,"OTHER","HOSPITAL",FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC"
"15638",2021-05-20,86160,"BRONX",NA,48,0,NA,NA,FALSE,"<18","M","WHITE HISPANIC","<18","M","BLACK"
"15639",2020-05-17,85920,"BRONX",NA,46,0,NA,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC"
"15640",2019-12-10,84720,"STATEN ISLAND",NA,122,0,NA,NA,FALSE,"18-24","F","WHITE HISPANIC","18-24","M","WHITE"
"15641",2014-03-13,82260,"STATEN ISLAND",NA,120,0,NA,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK HISPANIC"
"15642",2007-05-03,82800,"MANHATTAN",NA,33,0,NA,NA,FALSE,NA,"M","BLACK","25-44","M","BLACK"
"15643",2017-06-30,53640,"BRONX",NA,44,0,NA,"HOSPITAL",TRUE,"45-64","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER"
"15644",2008-08-30,15780,"BROOKLYN",NA,77,0,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"15645",2020-10-21,80280,"BROOKLYN",NA,71,0,NA,NA,TRUE,NA,NA,NA,"18-24","M","BLACK"
"15646",2020-10-24,10800,"BRONX",NA,46,0,NA,NA,FALSE,"25-44","M","BLACK HISPANIC","18-24","M","ASIAN / PACIFIC ISLANDER"
"15647",2021-04-30,6240,"BRONX",NA,44,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC"
"15648",2021-12-05,80160,"BRONX",NA,44,0,NA,NA,FALSE,NA,NA,NA,"18-24","F","BLACK HISPANIC"
"15649",2009-03-02,29340,"BRONX",NA,48,0,NA,NA,FALSE,"45-64","M","BLACK","45-64","M","BLACK"
"15650",2007-09-27,78600,"MANHATTAN",NA,33,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15651",2008-06-26,67680,"MANHATTAN",NA,28,0,NA,NA,FALSE,NA,"M","BLACK","25-44","M","BLACK"
"15652",2008-06-09,77400,"BRONX",NA,46,0,NA,NA,FALSE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK"
"15653",2009-01-24,77400,"BROOKLYN",NA,79,0,NA,"BEAUTY/NAIL SALON",FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"15654",2014-01-31,76440,"BRONX",NA,42,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK"
"15655",2015-04-29,73560,"BRONX",NA,47,0,NA,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"15656",2020-10-20,76980,"BROOKLYN",NA,77,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15657",2021-09-04,5880,"MANHATTAN",NA,34,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15658",2006-10-08,13140,"BROOKLYN",NA,75,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15659",2012-01-29,1200,"BROOKLYN",NA,73,0,NA,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK"
"15660",2011-12-25,13800,"QUEENS",NA,113,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15661",2007-11-20,76500,"BROOKLYN",NA,67,0,NA,NA,FALSE,NA,"M","BLACK","25-44","M","BLACK"
"15662",2009-12-28,6600,"BROOKLYN",NA,67,0,NA,"BAR/NIGHT CLUB",FALSE,NA,NA,NA,"18-24","M","BLACK"
"15663",2012-08-23,75780,"MANHATTAN",NA,25,0,NA,"GROCERY/BODEGA",TRUE,"<18","M","BLACK","18-24","M","WHITE HISPANIC"
"15664",2011-09-02,85560,"BROOKLYN",NA,75,0,NA,NA,TRUE,NA,NA,NA,"25-44","M","BLACK HISPANIC"
