STATION,DATE,AWND,PRCP,TMAX,TMIN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,1/19/1999,7.38,0,77,50,230,23,,,,,,,,,,,,,,,,,,
USW00012918,1/20/1999,9.62,0,79,66,220,23.9,,,,,,,,,,,,,,,,,,
USW00012918,1/21/1999,15.43,0,78,69,190,36,,,,,,,,,,,,,,,,,,
USW00012918,1/22/1999,14.54,0.05,76,50,300,34,,,,,,,,,,,,,,,,,,
USW00012918,1/23/1999,12.75,0,63,44,320,32,,,,,,,,,,,,,,,,,,
USW00012918,1/24/1999,5.37,0,72,41,220,16.1,,,,,,,,,,,,,,,,,,
USW00012918,1/25/1999,5.82,0,75,47,160,17,,,,,,,,,,,,,,,,,,
USW00012918,1/26/1999,8.05,0,75,47,170,23.9,,,,,,,,,,,,,,,,,,
USW00012918,1/27/1999,8.95,0,76,62,160,23.9,,,,,,,,,,,,,,,,,,
USW00012918,1/28/1999,10.07,0,74,67,160,25.1,,,,,,,,,,,,,,,,,,
USW00012918,1/29/1999,12.08,0.03,76,59,280,30,,,,,,,,,,,,,,,,,,
USW00012918,1/30/1999,10.29,0,64,50,300,23,,,,,,,,,,,,,,,,,,
USW00012918,1/31/1999,5.59,0,62,43,300,16.1,,,,,,,,,,,,,,,,,,
USW00012918,2/1/1999,5.14,0.01,71,46,170,17,,,,,,,,,,,,,,,,,,
USW00012918,2/2/1999,6.26,0,73,56,10,17.9,,,,,,,,,,,,,,,,,,
USW00012918,2/3/1999,6.93,0,77,54,210,23,,,,,,,,,,,,,,,,,,
USW00012918,2/4/1999,7.83,0,73,62,90,21.9,,,,,,,,,,,,,,,,,,
USW00012918,2/5/1999,8.5,0,74,62,140,17.9,,,,,,,,,,,,,,,,,,
USW00012918,2/6/1999,9.84,0,78,68,170,23,,,,,,,,,,,,,,,,,,
USW00012918,2/7/1999,8.28,0,75,65,200,21,,,,,,,,,,,,,,,,,,
USW00012918,2/8/1999,9.62,0,79,69,190,23,,,,,,,,,,,,,,,,,,
USW00012918,2/9/1999,8.95,0,82,69,200,23.9,,,,,,,,,,,,,,,,,,
USW00012918,2/10/1999,10.74,0,80,69,200,28,,,,,,,,,,,,,,,,,,
USW00012918,2/11/1999,16.33,0.06,80,50,350,38.9,,,,,,,,,,,,,,,,,,
USW00012918,2/12/1999,14.99,0.01,59,44,10,40,,,,,,,,,,,,,,,,,,
USW00012918,2/13/1999,4.7,0,68,37,330,17,,,,,,,,,,,,,,,,,,
USW00012918,2/14/1999,6.49,0,65,42,120,17.9,,,,,,,,,,,,,,,,,,
USW00012918,2/15/1999,8.95,0,71,49,160,23,,,,,,,,,,,,,,,,,,
USW00012918,2/16/1999,4.47,0,74,56,230,16.1,,,,,,,,,,,,,,,,,,
USW00012918,2/17/1999,6.49,0.74,70,54,320,25.1,,,,,,,,,,,,,,,,,,
USW00012918,2/18/1999,7.83,0,76,49,270,25.1,,,,,,,,,,,,,,,,,,
USW00012918,2/19/1999,6.04,0,70,50,340,17,,,,,,,,,,,,,,,,,,
USW00012918,2/20/1999,12.3,0.28,70,53,30,32,,,,,,,,,,,,,,,,,,
USW00012918,2/21/1999,12.97,0,62,46,20,28,,,,,,,,,,,,,,,,,,
USW00012918,2/22/1999,10.29,0,59,41,120,23,,,,,,,,,,,,,,,,,,
USW00012918,2/23/1999,4.7,0,75,50,330,17.9,,,,,,,,,,,,,,,,,,
USW00012918,2/24/1999,7.38,0,73,46,150,17.9,,,,,,,,,,,,,,,,,,
USW00012918,2/25/1999,8.5,0,73,57,160,19.9,,,,,,,,,,,,,,,,,,
USW00012918,2/26/1999,10.07,0,78,64,190,25.1,,,,,,,,,,,,,,,,,,
USW00012918,2/27/1999,11.18,0.01,81,63,230,29.1,,,,,,,,,,,,,,,,,,
USW00012918,2/28/1999,6.71,0,76,45,190,17,,,,,,,,,,,,,,,,,,
USW00012918,3/1/1999,6.93,0,79,48,180,21,,,,,,,,,,,,,,,,,,
USW00012918,3/2/1999,12.3,0,78,64,350,34,1,,,,,,,,,,,1,,,,,,
USW00012918,3/3/1999,9.17,0,68,49,20,40,,,,,,,,,,,,,,,,,,
